period,lower,mean,upper,label,experiment_id,run_id,subba
2024-06-21 07:00:00,11860.828882226626,13091.166503912727,14459.528506323082,2024-06-21,113534001760038130,9d5efd9eb3fa45629d0e29c2b77a064b,SCE
2024-06-21 08:00:00,11126.905540944215,12349.956853163902,13678.411994645692,2024-06-21,113534001760038130,9d5efd9eb3fa45629d0e29c2b77a064b,SCE
2024-06-21 09:00:00,10643.097065765432,11604.750990888142,13064.05641616784,2024-06-21,113534001760038130,9d5efd9eb3fa45629d0e29c2b77a064b,SCE
2024-06-21 10:00:00,10036.69913705339,10990.598490114018,12428.038498937787,2024-06-21,113534001760038130,9d5efd9eb3fa45629d0e29c2b77a064b,SCE
2024-06-21 11:00:00,9669.63160951949,10606.387981600828,11856.004981070297,2024-06-21,113534001760038130,9d5efd9eb3fa45629d0e29c2b77a064b,SCE
2024-06-21 12:00:00,9341.423861687685,10186.243639338065,11555.042406331337,2024-06-21,113534001760038130,9d5efd9eb3fa45629d0e29c2b77a064b,SCE
2024-06-21 13:00:00,9132.843041252769,10124.74363401762,11467.586707630226,2024-06-21,113534001760038130,9d5efd9eb3fa45629d0e29c2b77a064b,SCE
2024-06-21 14:00:00,9303.016077215108,10424.726154664424,11639.890239261627,2024-06-21,113534001760038130,9d5efd9eb3fa45629d0e29c2b77a064b,SCE
2024-06-21 15:00:00,9936.25390045282,10975.914696408792,12204.30299940507,2024-06-21,113534001760038130,9d5efd9eb3fa45629d0e29c2b77a064b,SCE
2024-06-21 16:00:00,10671.23334280932,11823.724581619355,13014.376525036749,2024-06-21,113534001760038130,9d5efd9eb3fa45629d0e29c2b77a064b,SCE
2024-06-21 17:00:00,11444.929288352352,12815.491442797966,13846.440646998,2024-06-21,113534001760038130,9d5efd9eb3fa45629d0e29c2b77a064b,SCE
2024-06-21 18:00:00,12068.91231696687,13384.761546026162,14559.567967892091,2024-06-21,113534001760038130,9d5efd9eb3fa45629d0e29c2b77a064b,SCE
2024-06-21 19:00:00,12375.125779482536,13665.674165995228,14998.645821847284,2024-06-21,113534001760038130,9d5efd9eb3fa45629d0e29c2b77a064b,SCE
2024-06-21 20:00:00,12515.508264772843,13836.47765888488,15152.766136287462,2024-06-21,113534001760038130,9d5efd9eb3fa45629d0e29c2b77a064b,SCE
2024-06-21 21:00:00,12695.013668105155,13942.862267044482,15419.124227998243,2024-06-21,113534001760038130,9d5efd9eb3fa45629d0e29c2b77a064b,SCE
2024-06-21 22:00:00,12657.921435340462,13980.46740678528,15757.201938097392,2024-06-21,113534001760038130,9d5efd9eb3fa45629d0e29c2b77a064b,SCE
2024-06-21 23:00:00,12611.953115051045,14110.97094114725,15755.214827970802,2024-06-21,113534001760038130,9d5efd9eb3fa45629d0e29c2b77a064b,SCE
2024-06-21 00:00:00,902.0596508536004,1203.0163255312343,1793.171220460703,2024-06-21,613465416807087354,4e76592240d24441ac3acfaaa82b67e2,SDGE
2024-06-21 01:00:00,1073.9852755514326,1489.158828714682,2127.737515240883,2024-06-21,613465416807087354,4e76592240d24441ac3acfaaa82b67e2,SDGE
2024-06-21 02:00:00,1434.6938471630344,1830.4445286214384,2386.565771717253,2024-06-21,613465416807087354,4e76592240d24441ac3acfaaa82b67e2,SDGE
2024-06-21 03:00:00,1840.948310182856,2184.1467874924974,2695.6662421116093,2024-06-21,613465416807087354,4e76592240d24441ac3acfaaa82b67e2,SDGE
2024-06-21 04:00:00,2063.3298982150327,2417.521986166468,2822.570066713105,2024-06-21,613465416807087354,4e76592240d24441ac3acfaaa82b67e2,SDGE
2024-06-21 05:00:00,2084.8860875061405,2499.4416571724114,2858.0535881426013,2024-06-21,613465416807087354,4e76592240d24441ac3acfaaa82b67e2,SDGE
2024-06-21 06:00:00,2110.5164467695045,2463.6646830476225,2890.1048932682565,2024-06-21,613465416807087354,4e76592240d24441ac3acfaaa82b67e2,SDGE
2024-06-21 07:00:00,1960.4190518990176,2314.194983555299,2730.8134090216327,2024-06-21,613465416807087354,4e76592240d24441ac3acfaaa82b67e2,SDGE
2024-06-21 08:00:00,1837.5250880313768,2207.5999669863018,2663.750479095392,2024-06-21,613465416807087354,4e76592240d24441ac3acfaaa82b67e2,SDGE
2024-06-21 09:00:00,1703.1346060886876,2131.0800360962894,2614.723625512724,2024-06-21,613465416807087354,4e76592240d24441ac3acfaaa82b67e2,SDGE
2024-06-21 10:00:00,1610.6563770247462,2002.494234303952,2472.1316976916987,2024-06-21,613465416807087354,4e76592240d24441ac3acfaaa82b67e2,SDGE
2024-06-21 11:00:00,1589.4000586580944,1964.9440544939791,2520.278284217708,2024-06-21,613465416807087354,4e76592240d24441ac3acfaaa82b67e2,SDGE
2024-06-21 12:00:00,1485.2782920756028,1911.8946552689663,2434.377633322952,2024-06-21,613465416807087354,4e76592240d24441ac3acfaaa82b67e2,SDGE
2024-06-21 13:00:00,1481.728886359888,1890.0197756415148,2299.821756170752,2024-06-21,613465416807087354,4e76592240d24441ac3acfaaa82b67e2,SDGE
2024-06-21 14:00:00,1529.0322555445948,1959.644150418305,2376.460313396657,2024-06-21,613465416807087354,4e76592240d24441ac3acfaaa82b67e2,SDGE
2024-06-21 15:00:00,1670.0858775653296,2014.644930869602,2478.260891621332,2024-06-21,613465416807087354,4e76592240d24441ac3acfaaa82b67e2,SDGE
2024-06-21 16:00:00,1706.5960740976593,2085.624507836147,2603.4305513128065,2024-06-21,613465416807087354,4e76592240d24441ac3acfaaa82b67e2,SDGE
2024-06-21 17:00:00,1652.3701561308287,1955.286753852063,2491.8211707106443,2024-06-21,613465416807087354,4e76592240d24441ac3acfaaa82b67e2,SDGE
2024-06-21 18:00:00,1274.3266743623249,1528.5092568959208,2199.310826859168,2024-06-21,613465416807087354,4e76592240d24441ac3acfaaa82b67e2,SDGE
2024-06-21 19:00:00,953.3052701737864,1415.8922261170171,2040.708192002113,2024-06-21,613465416807087354,4e76592240d24441ac3acfaaa82b67e2,SDGE
2024-06-21 20:00:00,780.2762776680906,1188.2325203225205,1836.3459214379573,2024-06-21,613465416807087354,4e76592240d24441ac3acfaaa82b67e2,SDGE
2024-06-21 21:00:00,714.1794292895514,1119.3811517050176,1811.6901538393824,2024-06-21,613465416807087354,4e76592240d24441ac3acfaaa82b67e2,SDGE
2024-06-21 22:00:00,719.0066079290334,1186.9328425496235,1813.911408038881,2024-06-21,613465416807087354,4e76592240d24441ac3acfaaa82b67e2,SDGE
2024-06-21 23:00:00,802.5268447285019,1217.5608364710945,1961.5005304047363,2024-06-21,613465416807087354,4e76592240d24441ac3acfaaa82b67e2,SDGE
2024-06-21 00:00:00,58.24609689646967,93.40079287846618,124.25168006281145,2024-06-21,480199206727514729,e6fc5bdacd414bdb81f0aa9cf65ad21a,VEA
2024-06-21 01:00:00,42.83953448201515,103.13570160485509,132.67897271268058,2024-06-21,480199206727514729,e6fc5bdacd414bdb81f0aa9cf65ad21a,VEA
2024-06-21 02:00:00,47.44186088670292,104.33451610341967,132.76174482077212,2024-06-21,480199206727514729,e6fc5bdacd414bdb81f0aa9cf65ad21a,VEA
2024-06-21 03:00:00,52.50575740756658,97.50689684827556,131.1342931476408,2024-06-21,480199206727514729,e6fc5bdacd414bdb81f0aa9cf65ad21a,VEA
2024-06-21 04:00:00,51.05867644160291,92.27868332825965,124.71394187154571,2024-06-21,480199206727514729,e6fc5bdacd414bdb81f0aa9cf65ad21a,VEA
2024-06-21 05:00:00,41.62352941176471,84.3267825612162,116.90874492331068,2024-06-21,480199206727514729,e6fc5bdacd414bdb81f0aa9cf65ad21a,VEA
2024-06-21 06:00:00,48.648331245367714,77.69518558110471,121.40868572616093,2024-06-21,480199206727514729,e6fc5bdacd414bdb81f0aa9cf65ad21a,VEA
2024-06-21 07:00:00,47.03805882192416,69.05849284622775,112.10624634425496,2024-06-21,480199206727514729,e6fc5bdacd414bdb81f0aa9cf65ad21a,VEA
2024-06-21 08:00:00,45.32762585259261,62.8675146792466,111.94436609342875,2024-06-21,480199206727514729,e6fc5bdacd414bdb81f0aa9cf65ad21a,VEA
